<extra_id_0>年代後半にDEC社の32 <extra_id_1>マシンである <extra_id_2>コンピューターで <extra_id_3>動するMac <extra_id_4>pの後継 <extra_id_5>として開発が始まった。	1970 <extra_id_0>ビット <extra_id_1>VAX <extra_id_2>稼 <extra_id_3>lis <extra_id_4>言語 <extra_id_5>
Maclis <extra_id_0>との互換 <extra_id_1>を維持 <extra_id_2>VA <extra_id_3>の高速性を活かし、 <extra_id_4>なアプリケーション <extra_id_5>より <extra_id_6>な実行を目指した。	<extra_id_0>p <extra_id_1>性 <extra_id_2>しつつ <extra_id_3>X <extra_id_4>大規模 <extra_id_5>の <extra_id_6>高速 <extra_id_7>
プロジェクトは開発 <extra_id_0> L Whiteが <extra_id_1>導し、後に <extra_id_2> S Burkeが主導 <extra_id_3>者 <extra_id_4>が、後に� <extra_id_5>Common Lispの仕様策 <extra_id_6>と合流し、Common Lispに影響を与えつつ、NIL自体も <extra_id_7>pに <extra_id_8>していった <extra_id_9>	<extra_id_0>当初はJon <extra_id_1>主 <extra_id_2>Glen <extra_id_3>開発 <extra_id_4>となった <extra_id_5>��頭してくる <extra_id_6>定 <extra_id_7>Common Lis <extra_id_8>適合 <extra_id_9>。
<extra_id_0>日本国内では、住 <extra_id_1>商 <extra_id_2>扱う <extra_id_3>VAX IIのパッケージの一つとして <extra_id_4>されていた。	<extra_id_0>友 <extra_id_1>事が <extra_id_2>Micro <extra_id_3>販売 <extra_id_4>
"# <extra_id_0>  <extra_id_1>歳 <extra_id_2></text><text bytes="" <extra_id_3>""xml <extra_id_4>space=""preserve""> <extra_id_5>ロイドの <extra_id_6>形 <extra_id_7>、 <extra_id_8>機科学の <extra_id_9>で使用される自然数に関する配列の一種。"	<extra_id_0>REDIRECT <extra_id_1>千 <extra_id_2>町 <extra_id_3>2497 <extra_id_4>: <extra_id_5>フ <extra_id_6>三角 <extra_id_7>は <extra_id_8>計算 <extra_id_9>教育 <extra_id_10>
<extra_id_0>イギリス <extra_id_1>計算機科学 <extra_id_2>ロバート・ <extra_id_3>ロイドにちなんで名付けられた。	<extra_id_0>の <extra_id_1>者 <extra_id_2>フ <extra_id_3>
<extra_id_0>、 <extra_id_1>を左上隅から自然数で埋めることによって作られる。	これは <extra_id_0>階段状の表 <extra_id_1>
プログラミング初学者 <extra_id_0>、 <extra_id_1>が与え <extra_id_2>状態でフロイドの <extra_id_3>形となる <extra_id_4>プログラム <extra_id_5>するタスクが割り <extra_id_6>られることがある。	<extra_id_0>には <extra_id_1>表 <extra_id_2>られた <extra_id_3>三角 <extra_id_4>ような <extra_id_5>を作成 <extra_id_6>当て <extra_id_7>
三角形の左端の数字は <extra_id_0>け仕出し屋の数 <extra_id_1>、 <extra_id_2>端の数字は <extra_id_3>数となる <extra_id_4>	<extra_id_0>怠 <extra_id_1>列になり <extra_id_2>右 <extra_id_3>三角 <extra_id_4>。
"#転 <extra_id_0>半島から流出した文化財 <extra_id_1>返還問題 <extra_id_2>text><text <extra_id_3>224""xml:space=""preserve"">サブルーチン <extra_id_4>カテゴリ <extra_id_5>"	"<extra_id_0>送朝鮮 <extra_id_1>の <extra_id_2></ <extra_id_3> bytes="" <extra_id_4>に関する <extra_id_5>。"
